position,ct
principal engineer-electro-optical payload systems (664094),1
principal engineer-systems test (663690),1
technical specialist principal-test - program operations (663455) security clearance required,1
engineer ii - electromagnetic compliance engineer (663783),1
staff consultant-mission system integration (663980) - security clearance required,1
engineering aide i-systems integration & test engineering (664232),1
senior embedded software engineer (664186),1
senior engineer - space systems (660320),1
systems assurance parts engineer ii (661777),1
sr. engineer - detector engineering (663761),1
engineer ii-system allocation & verification (663537),1
facilities electrician-hvac maintenance specialist iii (661296),1
principal pwb designer- full time temporary (663684),1
engineer i-mission systems engineer (systems operability) (659949) - security clearance required,1
satellite ground software engineer ii (663854) - security clearance required,1
senior engineer - electro-optical payload systems (664057),1
engineer senior-software quality assurance (663353),1
engineer i-mission systems analyst (663514),1
lead software engineer,1
technical specialist - optical test lab (663332),1
spacecraft communications subsystem engineer i (663460),1
principal spacecraft lead (664011),1
technician iv-test - program operations (663418) security clearance required,1
engineer ii - space systems (664072),1
"telemetry, tracking, and command / communications project engineer i (662483)",1
mechanical assembly production supervisor (663946),1
engineer ii-metrology (663033),1
it infrastructure systems administrator iii,1
project engineer i - mechanical (664132),1
qc inspector iii - cmm & procured inspection (661026),1
tech spec assoc-mechanical - (663303),1
principal engineer-space systems simulators (663330),1
senior algorithm & analysis software engineer (663685),1
principal systems assurance reliability engineer (661774),1
senior test technician (660966) - security clearance required,1
electrical/computer engineer - eosl,1
windows programmer / software engineer (advanced degree) - elsys,1
electrical / substation design engineer,1
"team lead – informatics. sensus usa inc. atlanta, georgia",1
windows programmer / software engineer - intermediate/senior -elsys -7332,1
adolescent health evaluation specialist,1
data science - senior consultant,1
big data engineer (mid to senior level),1
sr manager - data & analytics,1
director of software,1
senior software engineer ii,1
senior gis fema production task lead,1
network security analyst,1
optical engineer ii (663865),1
senior technical specialist - optical (663536),1
project engineer ii - mission assurance manager (662667),1
technical specialist ii-test - program operations (663440) security clearance required,1
systems assurance reliability engineer ii (661099),1
detector engineering systems engineer (663687),1
senior technical specialist-test - program operations (663444),1
sr. satellite ground software engineer (663828),1
spacecraft engineering manager ii - business development lead (662729),1
mechanical engineering manager ii-process & tools (663725),1
senior engineer-system allocation and verification (662816),1
engineer ii-doors administrator (662456) - security clearance required,1
senior engineer-mission system integration (664159),1
spacecraft requirements & verification systems-senior engineer (664045),1
senior embedded software engineer - labview (664117),1
engineer i-systems test: attitude determination & control systems (663459),1
principal engineer-space systems (662730),1
equipment maintenance technician iv - (663302),1
engineer ii-thermal (664197) security clearance required,1
engineer ii-manufacturing (663430),1
"postdoctoral associate, questrom school of business, college of communications, and center for behavioral sciences research, social innovation on drug resistance (sidr) program",1
principal satellite ground systems engineer (663858) - security clearance required,1
commercial real estate research analyst,1
"energy efficiency specialist, cambridge, ma",1
associate principal scientist - neuroscience (boston),1
senior medical director - gi/immunology (clinical development),1
senior director / head of biostatistics,1
medical director/sr medical director - neurologist (epilepsy),1
senior software engineer and/or lead software engineer (data / api),1
"research data analyst, school of public health, health policy & management",1
"vice president/ director, data and analysis",1
senior or lead software engineer (ml / api),1
tax services senior analyst – national tax – fiduciary trust tax services – research & technical writing - boston,1
development manager/architect - machine learning,1
senior advertising operations specialist,1
principal data scientist - quantumblack,1
prototype machinist - 2nd shift (664067),1
"data scientist, artificial intelligence engineer",1
medical technician,1
computational biologist i,1
principal engineer-systems test (662774) - security clearance required,1
senior electrical project engineer (663157),1
"engineer ii-materials & processes development lab, thermal analysis engineer (663328)",1
principal optical engineer (663219) - security clearance required,1
telemetry tracking & command/communications project engineer ii (662650) - security clearance requir,1
detector engineering systems engineer (663686) - security clearance required,1
"project engineer ii-mechanical, new business lead (663390)",1
principal embedded software engineer - labview (664114) security clearance required,1
engineer ii-instrument systems engineer (663131),1
principal systems assurance radiation effects engineer (661768),1
principal systems assurance parts engineer (661776),1
senior engineer-spacecraft lead (664005) - security clearance required,1
senior ground systems engineer (661989) - security clearance required,1
spacecraft communications subsystem principal engineer (663472) - security clearance required,1
senior engineer-system allocation & verification (663036) - security clearance required,1
senior technical specialist-mechanical (663898),1
technician ii-test (660965) - security clearance required,1
engineer ii-systems test (663486),1
space telescope operations senior engineer (664143),1
technical specialist principal-test - program operations (663454),1
senior material planner (662343),1
technician iii-test - rf system integration (663409),1
information systems security engineer (663060),1
